ENSG00000277726.4	0	0	0
ENSG00000009724.17	34	105	140
ENSG00000271895.2	11	10	7
ENSG00000116649.10	10644	5406	5238
ENSG00000171824.14	869	1294	1222
ENSG00000226849.1	14	716	789
ENSG00000230337.1	25	73	108
ENSG00000198793.13	3010	1561	1455
ENSG00000225602.5	30	17	19
ENSG00000253086.1	0	0	0
ENSG00000171819.5	2	0	2
ENSG00000207451.1	4	2	2
ENSG00000238173.1	1	1	0
ENSG00000120942.13	1377	720	657
ENSG00000238199.1	9	8	1
ENSG00000284646.1	0	0	0
ENSG00000224338.2	0	0	0
ENSG00000204624.8	0	0	0
ENSG00000285833.1	0	0	0
ENSG00000235643.2	0	0	0
ENSG00000284708.1	0	0	0
ENSG00000116661.11	18	13	5
ENSG00000132879.14	366	191	175
ENSG00000116663.11	622	278	344
ENSG00000116670.15	3183	1635	1548
ENSG00000162490.7	93	47	46
ENSG00000177674.16	2877	1393	1484
ENSG00000215910.7	0	121	71
ENSG00000177553.6	0	0	0
ENSG00000177000.12	1749	1066	1034
ENSG00000011021.23	2784	1763	1541
ENSG00000276470.1	0	0	0
ENSG00000278852.1	0	0	0
ENSG00000175206.10	16	324	360
ENSG00000275915.1	0	0	0
ENSG00000120937.9	0	0	0
ENSG00000224904.1	0	0	0
ENSG00000285646.2	28	10	18
ENSG00000199347.1	0	0	0
ENSG00000201801.1	0	0	0
ENSG00000116685.16	2322	1117	1205
ENSG00000083444.17	1212	605	610
ENSG00000287384.1	0	0	0
ENSG00000116688.16	3594	1755	1839
ENSG00000270914.1	4	3	1
ENSG00000116691.11	3258	1685	1573
ENSG00000202461.1	0	0	0
ENSG00000276869.1	0	0	0
ENSG00000243539.3	0	0	0
ENSG00000120949.15	204	102	103
ENSG00000201135.1	0	0	0
ENSG00000227875.2	0	0	0
ENSG00000285604.1	0	0	1
ENSG00000283789.1	0	0	0
ENSG00000028137.19	1631	814	817
ENSG00000263676.1	0	0	0
ENSG00000225196.2	0	0	0
ENSG00000252969.1	0	0	0
ENSG00000048707.15	1717	820	897
ENSG00000239149.1	2	1	1
ENSG00000229484.1	0	0	0
ENSG00000162496.9	10	6	4
ENSG00000221340.1	0	0	0
ENSG00000276830.1	0	0	0
ENSG00000272482.1	0	0	0
ENSG00000204518.2	0	0	0
ENSG00000226166.2	0	0	0
ENSG00000188984.12	0	0	0
ENSG00000157330.10	0	0	0
ENSG00000116726.4	0	0	0
ENSG00000116721.9	0	0	0
ENSG00000228338.1	0	0	0
ENSG00000239810.3	0	0	0
ENSG00000231103.2	0	0	0
ENSG00000179172.9	2	0	2
ENSG00000120952.4	0	0	0
ENSG00000243073.4	0	0	0
ENSG00000187545.5	0	0	0
ENSG00000204510.5	0	0	0
ENSG00000207434.1	0	0	0
ENSG00000234064.1	0	0	0
ENSG00000232423.6	0	0	0
ENSG00000274178.2	0	0	0
ENSG00000274764.5	0	0	0
ENSG00000277058.2	0	0	0
ENSG00000229571.7	0	0	0
ENSG00000277862.1	0	0	0
ENSG00000236179.1	0	0	0
ENSG00000275774.3	0	0	0
ENSG00000229978.1	0	0	0
ENSG00000233336.1	0	0	0
ENSG00000280267.4	0	0	0
ENSG00000179412.10	0	0	0
ENSG00000204505.4	0	0	0
ENSG00000279169.3	0	0	0
ENSG00000279804.2	0	0	0
ENSG00000250894.1	0	0	0
ENSG00000270601.4	0	0	0
ENSG00000231219.1	0	0	0
ENSG00000207511.1	0	0	0
ENSG00000182330.10	0	0	0
ENSG00000237700.2	0	0	0
ENSG00000204501.7	0	0	0
ENSG00000228229.2	0	0	0
ENSG00000204481.8	0	0	0
ENSG00000204480.8	0	0	0
ENSG00000204479.4	0	0	0
ENSG00000204478.9	0	0	0
ENSG00000162494.6	1	0	1
ENSG00000259961.1	0	0	0
ENSG00000215909.3	0	0	0
ENSG00000162493.16	10	6	4
ENSG00000222952.1	0	0	0
ENSG00000237445.2	0	0	0
ENSG00000253085.1	0	0	0
ENSG00000116731.22	2940	1440	1500
ENSG00000189337.17	388	200	190
ENSG00000252151.1	0	0	0
ENSG00000231606.2	0	0	0
ENSG00000234593.3	0	0	0
ENSG00000235829.1	0	0	0
ENSG00000287756.1	70	41	29
ENSG00000175147.13	6	0	8
ENSG00000171729.14	264	149	115
ENSG00000204464.7	0	0	0
ENSG00000215720.4	0	0	0
ENSG00000278480.1	1	0	1
ENSG00000142621.19	0	0	0
ENSG00000233485.1	0	0	0
ENSG00000236045.1	0	0	0
ENSG00000228140.2	0	0	0
ENSG00000142634.13	2668	1303	1365
ENSG00000162438.12	11	11	0
ENSG00000142615.8	0	0	0
ENSG00000215704.10	11	5	6
ENSG00000132906.18	231	134	97
ENSG00000116138.13	914	602	487
ENSG00000251866.1	31	13	18
ENSG00000272510.1	2	15	5
ENSG00000116771.6	269	194	232
ENSG00000237301.1	54	31	23
ENSG00000235084.3	54	26	28
ENSG00000252417.1	0	0	0
ENSG00000236500.1	0	0	0
ENSG00000197312.12	3663	1818	1845
ENSG00000215695.1	0	0	0
ENSG00000271742.1	1	0	1
ENSG00000116786.13	1779	899	924
ENSG00000237938.5	85	55	76
ENSG00000162461.8	80	36	49
ENSG00000224459.1	0	2	1
ENSG00000162460.7	0	0	0
ENSG00000162458.13	13	2	11
ENSG00000224321.1	8	6	2
ENSG00000233954.6	216	135	81
ENSG00000178715.8	16	8	8
ENSG00000179743.4	763	368	422
ENSG00000065526.11	5130	2396	2761
ENSG00000270620.1	0	0	0
ENSG00000116809.11	1670	838	832
ENSG00000234607.2	5	4	1
ENSG00000231353.1	0	0	0
ENSG00000275503.1	0	0	0
ENSG00000224966.4	0	0	0
