gene,test_statistic
ENSG00000272078.1,0.885334603912221
ENSG00000225158.2,0
ENSG00000175262.14,0
ENSG00000215785.2,0
ENSG00000120948.17,1053.78769806968
ENSG00000277726.4,0
ENSG00000009724.17,19.7778930363969
ENSG00000271895.2,5.86405233232133
ENSG00000116649.10,844.606925576353
ENSG00000171824.14,318.693822599484
ENSG00000226849.1,0.164973714377876
ENSG00000230337.1,0.942426622702148
ENSG00000198793.13,555.053594997191
ENSG00000225602.5,3.11508796169933
ENSG00000253086.1,0
ENSG00000171819.5,2.54553218148386
ENSG00000207451.1,0.235155805918106
ENSG00000238173.1,0.928113260487002
ENSG00000120942.13,90.2741560287121
ENSG00000238199.1,0.335153013405326
ENSG00000284646.1,0
ENSG00000224338.2,0
ENSG00000204624.8,1.22312416333111
ENSG00000285833.1,0
ENSG00000235643.2,0
ENSG00000284708.1,0.561207176231894
ENSG00000116661.11,29.875412976705
ENSG00000132879.14,57.9824470368014
ENSG00000116663.11,27.7617610264632
ENSG00000116670.15,213.526782122027
ENSG00000162490.7,21.6807558963769
ENSG00000177674.16,117.986918560809
ENSG00000215910.7,0
ENSG00000177553.6,0
ENSG00000177000.12,75.0732665715092
ENSG00000011021.23,148.033236691359
ENSG00000276470.1,0
ENSG00000278852.1,0
ENSG00000175206.10,0.509709874263382
ENSG00000275915.1,0
ENSG00000120937.9,1.73186798338325
ENSG00000224904.1,0
ENSG00000285646.2,3.84587455683258
ENSG00000199347.1,0
ENSG00000201801.1,0
ENSG00000116685.16,366.3943822765
ENSG00000083444.17,2327.8290389785
ENSG00000287384.1,0.687981388614568
ENSG00000116688.16,716.440718339142
ENSG00000270914.1,0
ENSG00000116691.11,69.3245538910408
ENSG00000202461.1,1.06012883958389
ENSG00000276869.1,0
ENSG00000243539.3,0
ENSG00000120949.15,13.7224360623169
ENSG00000201135.1,0.140301794057973
ENSG00000227875.2,0.194851219347352
ENSG00000285604.1,0.280603588115947
ENSG00000283789.1,0
ENSG00000028137.19,64.2241525608398
ENSG00000263676.1,0
ENSG00000225196.2,0.140301794057973
ENSG00000252969.1,0
ENSG00000048707.15,521.236810039642
ENSG00000239149.1,0.254789271261194
ENSG00000229484.1,0
ENSG00000162496.9,299.297850582388
ENSG00000221340.1,0.344736159885506
ENSG00000276830.1,0.10490433072304
ENSG00000272482.1,2.44397694988782
ENSG00000204518.2,0
ENSG00000226166.2,0.140301794057973
ENSG00000188984.12,4.34935561579718
ENSG00000157330.10,0.751863875723529
ENSG00000116726.4,0
ENSG00000116721.9,0
ENSG00000228338.1,0
ENSG00000239810.3,0
ENSG00000231103.2,0
ENSG00000179172.9,3.83096937999763
ENSG00000120952.4,0
ENSG00000243073.4,0
ENSG00000187545.5,0
ENSG00000204510.5,0
ENSG00000207434.1,0
ENSG00000234064.1,0
ENSG00000232423.6,0
ENSG00000274178.2,0
ENSG00000274764.5,0
ENSG00000277058.2,0.400150556672939
ENSG00000229571.7,0
ENSG00000277862.1,0
ENSG00000236179.1,0
ENSG00000275774.3,0.329947428755752
ENSG00000229978.1,0
ENSG00000233336.1,0
ENSG00000280267.4,0
ENSG00000179412.10,0.140301794057973
ENSG00000204505.4,0
ENSG00000279169.3,0
ENSG00000279804.2,0
ENSG00000250894.1,0
ENSG00000270601.4,0
ENSG00000231219.1,0
ENSG00000207511.1,0
ENSG00000182330.10,0
ENSG00000237700.2,0
ENSG00000204501.7,0
ENSG00000228229.2,0
ENSG00000204481.8,0
ENSG00000204480.8,0.0503549054336612
ENSG00000204479.4,0
