gene,test_statistic,adj_pvalue
ENSG00000231702.2,-1.0504473395937,NA
ENSG00000224969.1,1.77450385120404,0.117404069002114
ENSG00000188157.15,-8.00265073376684,1.1159244011568e-14
ENSG00000242590.1,NA,NA
ENSG00000217801.10,7.10145039003188,8.734025101161e-12
ENSG00000273443.1,0.202915568469296,NA
ENSG00000237330.3,NA,NA
ENSG00000131591.17,6.23514911197493,2.47133868055102e-09
ENSG00000285812.1,7.80021214994376,5.33160388480429e-14
ENSG00000223823.1,-0.52757183825286,NA
ENSG00000207730.3,NA,NA
ENSG00000207607.3,NA,NA
ENSG00000198976.1,NA,NA
ENSG00000272141.1,-0.0622340096931338,NA
ENSG00000205231.1,-0.408738548527991,NA
ENSG00000162571.13,3.59651376744096,0.000828110836228806
ENSG00000186891.14,9.30892554403639,1.6807796424933e-19
ENSG00000186827.11,6.10750574983008,5.34273256437422e-09
ENSG00000078808.17,-3.38452247109414,0.00172787399469598
ENSG00000176022.7,-0.463259035636335,0.704411168235091
ENSG00000184163.3,-0.555743542481375,0.645648228286966
ENSG00000260179.1,0.506239496720756,0.677164557217969
ENSG00000160087.20,1.83860864664463,0.103977883390464
ENSG00000230415.1,0.447230499562296,0.714612464831274
ENSG00000162572.21,3.35972478714847,0.00187865374645515
ENSG00000131584.19,-0.323969361632793,0.793090458466748
ENSG00000278073.1,NA,NA
ENSG00000169972.12,-2.25617716355195,0.042795135010452
ENSG00000127054.20,1.52455291703783,0.182032302165896
ENSG00000283712.1,NA,NA
ENSG00000240731.1,1.66894860727288,0.142098163738922
ENSG00000224051.7,-2.59974220607274,0.0182110199781169
ENSG00000169962.5,-2.98226938362863,0.00619163557775399
ENSG00000107404.20,-3.09620994286704,0.00437717427009763
ENSG00000284372.1,NA,NA
ENSG00000162576.16,-13.9708662896169,1.16585999547694e-42
ENSG00000175756.13,7.52596847266846,4.17145235385036e-13
ENSG00000223663.2,4.78598193526967,6.06236480429799e-06
ENSG00000221978.12,1.23326014515514,0.284467791815179
ENSG00000224870.7,-0.0788488297611298,0.950456158167105
ENSG00000242485.6,7.08289265601048,9.93170801303135e-12
ENSG00000264293.2,NA,NA
ENSG00000272455.1,2.64229616976741,0.016279815379346
ENSG00000235098.8,-0.868713725850592,0.46134458525075
